,Timestamp,CPU %,Memory %
0,10,28.0,91
1,130,20.0,91
2,160,19.0,92
3,170,16.0,92
4,280,20.0,92
5,600,34.0,95
6,710,33.0,93
7,730,33.0,93
8,740,32.0,94
9,780,29.0,94
10,850,31.0,94
11,930,27.0,94
12,1150,36.0,98
13,1220,35.0,94
14,1250,37.0,96
15,1340,31.0,93
16,1360,31.0,93
17,1500,31.0,95
18,1510,36.0,96
19,1580,32.0,98
20,1680,35.0,97
21,1750,29.0,96
22,1770,24.0,96
23,1790,27.0,96
24,1800,28.0,96
25,1830,26.0,96
26,2190,20.0,91
27,2280,28.0,92
28,2320,19.0,91
29,2480,45.0,93
30,2500,50.0,94
31,2550,34.0,94
32,2560,29.0,94
33,2640,25.0,94
34,2750,28.0,94
35,2780,24.0,92
36,3320,23.0,93
37,3420,33.0,95
38,3460,33.0,95
39,3620,23.0,96
40,3640,25.0,95
41,3650,27.0,96
42,3680,26.0,96
43,3830,24.0,93
44,3940,27.0,95
45,3960,24.0,96
46,4000,25.0,95
47,4020,22.0,95
48,4080,24.0,95
49,4120,27.0,93
50,4150,24.0,93
51,4380,19.0,92
52,4470,19.0,91
53,4480,19.0,91
54,4580,27.0,91
55,4760,59.0,96
56,4800,48.0,95
57,4830,44.0,92
58,4860,42.0,91
59,4900,41.0,89
60,5260,41.0,89
61,5280,38.0,90
62,5510,42.0,87
63,5530,43.0,88
64,5550,43.0,89
65,5750,39.0,90
66,5790,37.0,90
67,5850,32.0,89
68,5880,27.0,88
69,5890,33.0,88
70,5950,32.0,87
71,6020,29.0,86
72,6060,25.0,86
73,6110,27.0,87
74,6290,35.0,88
75,6430,33.0,86
76,6450,30.0,86
77,6590,28.0,89
78,6980,23.0,87
79,7090,22.0,87
80,7100,20.0,87
81,7220,24.0,89
82,7470,27.0,91
83,7730,26.0,90
84,7750,27.0,90
85,8080,39.0,91
86,8130,46.0,91
87,8150,30.0,89
88,8650,33.0,88
89,8690,28.0,87
90,8760,29.0,86
91,8800,31.0,87
92,8900,32.0,88
93,9030,33.0,86
94,9050,35.0,86
95,9100,37.0,86
96,9240,40.0,87
97,9310,32.0,86
98,9320,32.0,87
99,9370,35.0,88
100,9420,26.0,86
101,9430,25.0,86
102,9480,26.0,85
103,9570,35.0,87
104,9720,30.0,88
105,9790,32.0,89
106,10190,28.0,86
107,10200,29.0,86
108,10310,26.0,87
109,10700,23.0,87
110,10840,29.0,90
111,10890,27.0,90
112,10940,28.0,90
113,11110,36.0,93
114,11190,25.0,91
115,11370,22.0,89
116,11390,25.0,90
117,11460,24.0,90
