,Timestamp,CPU %,Memory %
18637346,460,37.0,95
18637347,800,32.0,90
18637348,930,27.0,90
18637349,970,28.0,90
18637350,990,25.0,90
18637351,1040,26.0,90
18637352,1050,31.0,90
18637353,1170,42.0,92
18637354,1230,33.0,93
18637355,1530,29.0,88
18637356,1580,31.0,90
18637357,1800,33.0,93
18637358,1940,22.0,86
18637359,1990,30.0,87
18637360,2160,23.0,86
18637361,2180,20.0,86
18637362,2280,30.0,85
18637363,2730,26.0,88
18637364,2800,26.0,87
18637365,2820,22.0,87
18637366,2900,27.0,87
18637367,2950,33.0,88
18637368,3070,38.0,89
18637369,3090,31.0,87
18637370,3110,31.0,89
18637371,3370,25.0,88
18637372,3460,25.0,89
18637373,3610,26.0,90
18637374,3680,27.0,91
18637375,3710,26.0,91
18637376,3810,33.0,92
18637377,3820,31.0,92
18637378,3880,27.0,90
18637379,4020,29.0,92
18637380,4260,20.0,88
18637381,4310,17.0,88
18637382,4380,19.0,89
18637383,4600,35.0,89
18637384,5090,29.0,84
18637385,5290,32.0,85
18637386,5370,34.0,83
18637387,5500,40.0,85
18637388,5540,37.0,87
18637389,5590,49.0,85
18637390,5680,40.0,88
18637391,5820,28.0,85
18637392,5990,26.0,82
18637393,6060,26.0,82
18637394,6160,21.0,81
18637395,6220,23.0,80
18637396,6290,37.0,84
18637397,6310,36.0,83
18637398,6330,31.0,83
18637399,6470,32.0,84
18637400,6500,28.0,85
18637401,6550,27.0,85
18637402,6790,36.0,85
18637403,6880,33.0,85
18637404,6920,34.0,86
18637405,7600,40.0,86
18637406,7610,35.0,86
18637407,7650,27.0,85
18637408,7710,29.0,86
18637409,7720,26.0,85
18637410,7780,26.0,85
18637411,7920,49.0,87
18637412,7980,37.0,87
18637413,7990,38.0,87
18637414,8060,43.0,89
18637415,8140,42.0,88
18637416,8210,39.0,87
18637417,8380,28.0,82
18637418,8470,28.0,82
18637419,8500,27.0,82
18637420,8640,35.0,84
18637421,8700,32.0,85
18637422,8750,31.0,83
18637423,8820,30.0,85
18637424,8900,29.0,83
18637425,8970,25.0,82
18637426,8980,27.0,83
18637427,9000,29.0,82
18637428,9270,29.0,84
18637429,9380,32.0,85
18637430,9430,27.0,82
18637431,9450,28.0,83
18637432,9590,29.0,83
18637433,9650,30.0,83
18637434,9810,27.0,82
18637435,9860,25.0,83
18637436,10000,24.0,83
18637437,10050,26.0,84
18637438,10100,34.0,83
18637439,10140,33.0,83
18637440,10310,25.0,83
18637441,10350,26.0,83
18637442,10400,24.0,83
18637443,10420,24.0,84
18637444,10450,26.0,84
18637445,10750,29.0,85
18637446,10860,30.0,87
18637447,10970,33.0,88
18637448,11100,35.0,90
18637449,11170,31.0,89
18637450,11250,27.0,89
18637451,11400,36.0,88
18637452,11520,27.0,85
18637453,11830,34.0,85
18637454,11910,25.0,84
18637455,12150,30.0,84
18637456,12240,40.0,88
18637457,12270,32.0,86
18637458,12340,41.0,88
18637459,12490,37.0,89
18637460,12520,38.0,88
18637461,12640,39.0,89
18637462,12690,27.0,87
18637463,12780,33.0,86
18637464,12800,35.0,85
18637465,12870,30.0,85
18637466,12900,28.0,85
18637467,12960,27.0,85
18637468,13150,32.0,86
18637469,13200,30.0,85
18637470,13440,34.0,88
18637471,13480,30.0,87
18637472,13850,30.0,88
18637473,13860,30.0,88
18637474,13880,31.0,89
18637475,13970,33.0,87
18637476,14070,35.0,87
